code_insee;nom_officiel;x;y;lon;lat;dist_km
42171;Pinay;740000;2097000;4.139397;45.85883252;0.0
42172;Planfoy;764000;2049000;4.43185779;45.42177771;1.477430360291337
42173;Pommiers-en-Forez;732000;2097000;4.03640957;45.8604359;1.4113004614187015
42174;Poncins;740000;2081000;4.13468608;45.71492138;0.0
42175;Pouilly-lès-Feurs;748000;2089000;4.23988577;45.78518131;0.0
42176;Pouilly-les-Nonains;724000;2121000;3.93971891;46.077824;1.8540603628822345
42177;Pouilly-sous-Charlieu;740000;2129000;4.14889504;46.1466566;0.0
42178;Pradines;740000;2113000;4.14413412;46.00274427;0.6423887869099564
42179;Pralong;732000;2073000;4.02975556;45.64456437;0.44671860446278383
42180;Précieux;740000;2065000;4.13000097;45.57101352;0.7208865918667811
42181;Régny;748000;2113000;4.2473847;46.00104265;0.4861432800448837
42182;Renaison;724000;2121000;3.93971891;46.077824;1.1181973209001863
42183;La Ricamarie;756000;2049000;4.32969216;45.42364893;1.9205078902558792
42184;Riorges;732000;2121000;4.04311852;46.07630945;1.2268009122778463
42185;Rivas;748000;2065000;4.23244708;45.56932516;1.809466316832772
42186;Rive-de-Gier;780000;2065000;4.64215911;45.56163601;2.0768185460127424
42187;Roanne;732000;2113000;4.04087688;46.00435136;1.752571442882301
42188;Roche-en-Forez;724000;2073000;3.92716552;45.64606786;0.8560800690441015
42189;Roche-la-Molière;756000;2049000;4.32969216;45.42364893;0.0
42191;Roisey;780000;2049000;4.63616739;45.41775513;1.7464113482368422
42192;Rozier-Côtes-d'Aurec;740000;2041000;4.12301963;45.35516012;1.071922065237963
42193;Rozier-en-Donzy;748000;2089000;4.23988577;45.78518131;1.0805484097058584
42194;Sail-les-Bains;716000;2137000;3.84026909;46.22316841;0.28482427889212847
42195;Sail-sous-Couzan;724000;2081000;3.92924364;45.71802623;1.222250121761156
42196;Sainte-Agathe-en-Donzy;756000;2097000;4.34535431;45.85534316;2.543141194898817
42197;Sainte-Agathe-la-Bouteresse;732000;2081000;4.03196745;45.71652092;1.3296628984034462
42198;Saint-Alban-les-Eaux;724000;2113000;3.93761291;46.00586398;0.0
42199;Saint-André-d'Apchon;724000;2113000;3.93761291;46.00586398;0.9771528233456307
42200;Saint-André-le-Puy;748000;2073000;4.23492016;45.6412762;1.0158371363385679
42201;Saint-Appolinard;780000;2041000;4.63318292;45.34581719;0.0
42202;Saint-Barthélemy-Lestra;756000;2081000;4.34010697;45.71144187;0.0
42203;Saint-Bonnet-des-Quarts;716000;2129000;3.83828881;46.15120613;0.0
42204;Saint-Bonnet-le-Château;732000;2049000;4.02315533;45.42870077;2.173935650103263
42205;Saint-Bonnet-le-Courreau;724000;2073000;3.92716552;45.64606786;0.0
42206;Saint-Bonnet-les-Oules;756000;2065000;4.33488697;45.56754367;0.8107508811861016
42207;Saint-Chamond;772000;2057000;4.53687532;45.49175565;0.7962989646645153
42208;Saint-Christo-en-Jarez;764000;2065000;4.43731845;45.56566819;0.9936287438341729
42209;Sainte-Colombe-sur-Gand;748000;2097000;4.24237874;45.85713483;0.6695923716055486
42210;Sainte-Croix-en-Jarez;780000;2057000;4.63915913;45.48969539;0.0
42211;Saint-Cyprien;748000;2065000;4.23244708;45.56932516;1.3299390538368188
42212;Saint-Cyr-de-Favières;740000;2105000;4.14176228;45.93078841;1.7276059652257292
42213;Saint-Cyr-de-Valorges;756000;2097000;4.34535431;45.85534316;2.2893854404361282
42214;Saint-Cyr-les-Vignes;748000;2081000;4.23739954;45.71322824;1.845369212503804
42215;Saint-Denis-de-Cabanne;748000;2129000;4.25241763;46.1449506;2.959955090555232
42216;Saint-Denis-sur-Coise;764000;2073000;4.44005921;45.63761466;1.4155432139451554
42217;La Côte-Saint-Didier;716000;2089000;3.828464;45.79139768;0.0
42218;Saint-Étienne;764000;2049000;4.43185779;45.42177771;0.0
42219;Saint-Étienne-le-Molard;740000;2081000;4.13468608;45.71492138;1.3255185047596527
42220;Saint-Forgeux-Lespinasse;724000;2129000;3.94183017;46.14978423;0.0
42221;Sainte-Foy-Saint-Sulpice;740000;2089000;4.13703828;45.78687676;0.039268715340421215
42222;Saint-Galmier;756000;2073000;4.33749388;45.6394924;1.818004798839097
42223;Saint-Genest-Lerpt;756000;2049000;4.32969216;45.42364893;1.7601216482639062
42224;Saint-Genest-Malifaux;764000;2041000;4.42913818;45.34983471;0.0
42225;Genilac;772000;2065000;4.53974224;45.56369908;1.8392729804929948
42226;Saint-Georges-de-Baroille;740000;2097000;4.139397;45.85883252;0.5333204126146489
42227;Saint-Georges-en-Couzan;724000;2081000;3.92924364;45.71802623;0.0
42228;Saint-Georges-Haute-Ville;740000;2065000;4.13000097;45.57101352;1.5246070453819673
42229;Saint-Germain-la-Montagne;756000;2137000;4.35859744;46.21510095;1.3018791748633098
42230;Saint-Germain-Laval;732000;2097000;4.03640957;45.8604359;0.39420994319826885
42231;Saint-Germain-Lespinasse;724000;2121000;3.93971891;46.077824;0.9910019685819897
42232;Saint-Haon-le-Châtel;724000;2121000;3.93971891;46.077824;1.446889794416325
42233;Saint-Haon-le-Vieux;724000;2121000;3.93971891;46.077824;0.0
42234;Saint-Héand;756000;2057000;4.33228601;45.49559575;1.6376517644691746
42235;Saint-Hilaire-Cusson-la-Valmitte;732000;2041000;4.02096668;45.35674863;1.1571632503024492
42236;Saint-Hilaire-sous-Charlieu;740000;2129000;4.14889504;46.1466566;1.440143195958281
42237;Saint-Jean-Bonnefonds;764000;2057000;4.4345844;45.49372237;2.121583721003507
42238;Saint-Jean-la-Vêtre;716000;2089000;3.828464;45.79139768;0.6448169836671824
42239;Saint-Jean-Saint-Maurice-sur-Loire;724000;2105000;3.93551196;45.93390423;0.5549632631341506
42240;Saint-Jean-Soleymieux;732000;2057000;4.02534958;45.50065416;0.0
42241;Saint-Jodard;740000;2097000;4.139397;45.85883252;1.9526344081954128
42242;Saint-Joseph;780000;2065000;4.64215911;45.56163601;0.8356628668597639
42243;Saint-Julien-d'Oddes;732000;2097000;4.03640957;45.8604359;0.8619673993791535
42245;Vêtre-sur-Anzon;716000;2089000;3.828464;45.79139768;1.0592050119773797
42246;Saint-Julien-Molin-Molette;780000;2041000;4.63318292;45.34581719;0.780932742627686
42247;Saint-Just-en-Bas;724000;2081000;3.92924364;45.71802623;1.668989350852482
